Id,Name,App,AvgCpu,CurrentType,SuggestedType
i-701dbe8d,daas-external-file-2-prod-priv,DaaS,2.44,m3.large,t2.medium
i-79becc85,daas-internal-file-1-prod-priv,DaaS,3.69,m3.large,t2.medium
i-09ab95746f49f34c7,smd-app-prod-pink,SMD,1.48,c4.xlarge,t2.medium
i-06d5fb11c8943abaa,splunk-index-1-prod-priv,Security_Infrastructure.Splunk,38.11,c3.2xlarge,t2.medium
i-08c3bea2e60ae0309,www.ssc-web-1-prod-pubvpc,SSC,0.49,m3.medium,t2.small
i-0692982f6f754f18f,splunk-master-1-prod-priv,Security_Infrastructure.Splunk,4.73,m4.large,t2.medium
i-02496eafc3fad1751,daas-hostmaster-0-prod-priv,DaaS,1.63,t2.medium,t2.medium
i-0897e6a43c8e214c9,images-pipeline-prod-pubvpc,AVAIL,3.54,m3.medium,t2.medium
i-04c85bc025b100d7d,daas-webapp-1-dev-az1-priv,DaaS,0.88,t2.medium,t2.small
i-0ec190c5bb2a6c23f,caching-proxy-iaas-1-stage-pubvpc,WPaaS,0.36,m3.large,t2.small
i-4cea3e4d,wavelength-smd-webapp-2-dev-pubvpc,SMD,0.36,m3.medium,t2.small
i-01d845fd6c7bb4292,www-app-prod-cms-green,CMS,0.63,c4.xlarge,t2.small
i-02a43dc2b1e9ca2db,images-resizer-prod-pubvpc,AVAIL,0.94,m4.large,t2.small
i-b9040620,llis-app-1-prod-priv-blue,LLIS_external_website,1.52,t2.micro,t2.medium
i-1ef8dc77,nat-proxy-1-prod-cms,CMS,3.97,m3.medium,t2.medium
i-07547dc8168246910,newsletters-app-3-prod-ipv-6-pubvpc,Newsletters,1.38,t2.medium,t2.medium
i-0c6ff1e0290379b65,daas-webapp-1-stage-az1-priv,DaaS,0.84,t2.large,t2.small
i-041923a890afd4176,appel-webapp-2-prod-priv,WPaaS,0.23,m4.large,t2.small
i-69c9ad39,tririga-webapp-2-prod-priv,Tririga,4.58,m3.large,t2.medium
i-0a8421444db4fc384,genelab-dev-app-4-pubvpc,GeneLab,2.02,m3.large,t2.medium
i-b0b61bd8,straw-webapp-1-dev-priv,STRAW,3.74,m1.large,t2.medium
i-2f0f90b6,wp-dns-2-prod-priv,Support,0.49,t2.small,t2.small
i-0b21c0b4361a33c99,images-api-prod-pubvpc,AVAIL,2.32,m4.large,t2.medium
i-03c6e0b15f7a63ed2,appel-webapp-1-prod-priv,WPaaS,0.75,m4.large,t2.small
i-b44a4933,www-feed-cache-green-1-prod-cms,CMS,1.24,m4.xlarge,t2.medium
i-0596ba89d1bd972ed,wsus-webapp-1-prod-priv,Support,13.21,m3.medium,t2.medium
i-06af487134663132e,waf-gw-asg-prod-priv,Security_Infrastructure.WebAppFirewall,2.66,m3.xlarge,t2.medium
i-ead93a38,www-app-2-dev-pubvpc,CMS,0.94,t2.medium,t2.small
i-039e2196f4efaf3be,daas-internal-app-1-dev-2-priv,DaaS,6.78,m3.large,t2.medium
i-02fc3515d9ad50ac2,utm-vg-webapp-2-dev-pubvpc,UTM,10.42,m3.medium,t2.medium
