Id,Name,App,AvgCpu,CurrentType,SuggestedType
i-beb6d99a,niam-insight-1-stage-gc,NIAM,1.54,m3.large,t2.micro
i-a2305987,pcat.nasa.gov-webapp-dev-gc,PCAT,8.65,m3.medium,t2.small
i-0f2d3ad95b7f33f9e,MATLAB-worker-webapp-1-dev-gcpriv,MatLab_CloudPilot,22.93,c4.2xlarge,t2.small
i-48fc3e6c,magicdraw-altair-sao-app-1-prod-gc,MagicDraw,30.45,m3.medium,m5.large
i-6a41d74f,eva-search-3-prod-gc,EVA,1.17,r4.xlarge,t2.micro
i-0e24b49c7c857d97d,nenportal-app-1-dxp-prod-gc,NEN,1.97,m3.xlarge,t2.micro
i-03072269fddf0b348,nensolr-app-2-dxp-stage-gc,NEN,8.82,m3.medium,t2.small
i-197ad53d,search-mapred-1-stage-gc,Search,8.82,r3.large,t2.small
i-53b8d777,niam-app-1-stage-gc,NIAM,0.51,m3.large,t2.micro
i-7e44f55a,ins-nen-dev-smo-02-gc,NEN,25.88,m3.medium,t2.small
i-03f65cfa0f2d0369b,niam-insight-1-prod-gc,NIAM,0.78,m3.large,t2.micro
i-03cf90be0d46ad728,splunk-index-1-prod-gc,Security_Infrastructure.Splunk,7.95,m4.xlarge,t2.small
i-0d29d30eb7ff3a15f,dsm-new-1-prod-gcpriv,Security_Infrastructure.TrendMicro,1.78,m4.large,t2.micro
i-01ffe2b9a77fc9821,ansible-webapp-1-stage-gc,Ansible,2.03,m4.large,t2.micro
i-0bf63eeb3cf1cf80e,loxy-app-1-prod-gc,Support,0.29,m4.large,t2.micro
i-0fce3522a494e1ad4,search-mapred-1-prod-gc,Search,3.22,r4.large,t2.micro
